bundle,variable,elasticity
Bus,price1,-0.10563700682965009
Bus,price2,0.08700856704058792
Bus,price3,0.015757806944732184
Bus,price4,0.0162818124645743
Bus,taxi_12,-0.08105146830557058
Bus,avg_rail_time,-0.5193781516369667
Bus,avg_cost_savings,-0.01389636191119121
Bus,avg_time_savings,-0.00597269935849444
Bus,cost_savings,-0.0017835842401933099
Bus,time_savings,0.0007389084381484521
Bus,price_ratio,0.012748570434005709
Metro,price1,0.050184599680749745
Metro,price2,-0.1831329870754483
Metro,price3,0.01829496310277599
Metro,price4,0.019260268673672684
Metro,taxi_12,-0.07679633055132487
Metro,avg_rail_time,-0.5197662684352334
Metro,avg_cost_savings,-0.014107837311359155
Metro,avg_time_savings,-0.0059797093800960325
Metro,cost_savings,-0.0001863736188586346
Metro,time_savings,-0.0031056016515127634
Metro,price_ratio,-0.004662667959751797
VT,price1,0.12899954846237793
VT,price2,0.27664111895417925
VT,price3,-0.1779139296688516
VT,price4,0.07591471520131847
VT,taxi_12,0.0327157799944795
VT,avg_rail_time,-0.5243856093217982
VT,avg_cost_savings,-0.013848734843370845
VT,avg_time_savings,-0.005862469961947144
VT,cost_savings,0.007920220677545024
VT,time_savings,-0.01809276625788461
VT,price_ratio,-0.16727992708629494
Ultra,price1,0.09748841869736342
Ultra,price2,0.20212186059888443
Ultra,price3,0.06268990155820958
Ultra,price4,-0.2026707464715007
Ultra,taxi_12,0.03748702952231401
Ultra,avg_rail_time,-0.522997563434057
Ultra,avg_cost_savings,-0.01304134247139703
Ultra,avg_time_savings,-0.00586434894257294
Ultra,cost_savings,0.00698310416435903
Ultra,time_savings,-0.01114764582493025
Ultra,price_ratio,-0.12104283221947525
