stage,choice,state,variable,elasticity
Stage1,MaaS,S1,taxi_12,0.0
Stage1,MaaS,S1,avg_rail_time,-0.6578232938961079
Stage1,MaaS,S1,avg_cost_savings,-0.024182346253679377
Stage1,MaaS,S1,avg_time_savings,-0.0008347467187151885
Stage1,MaaS,S2,taxi_12,0.0
Stage1,MaaS,S2,avg_rail_time,-0.47178461803449256
Stage1,MaaS,S2,avg_cost_savings,-0.0006538046059349086
Stage1,MaaS,S2,avg_time_savings,-0.006147479076579998
Stage2,Bus,S1,price1,-0.5244218696604737
Stage2,Bus,S1,price2,0.3161328193615762
Stage2,Bus,S1,price3,0.06916549973478965
Stage2,Bus,S1,price4,0.0794830524670383
Stage2,Bus,S1,taxi_12,-0.028548904522293608
Stage2,Bus,S2,price1,0.03508110857313496
Stage2,Bus,S2,price2,-0.015375711695217344
Stage2,Bus,S2,price3,-0.0009879391755669442
Stage2,Bus,S2,price4,-0.004990210020456608
Stage2,Bus,S2,taxi_12,-0.1054674472441165
Stage2,Metro,S1,price1,0.15146969666638746
Stage2,Metro,S1,price2,-0.709117689678756
Stage2,Metro,S1,price3,0.06916549973478965
Stage2,Metro,S1,price4,0.07948305246703831
Stage2,Metro,S1,taxi_12,-0.028548904522293608
Stage2,Metro,S2,price1,-0.009363875885562088
Stage2,Metro,S2,price2,0.05204226658819715
Stage2,Metro,S2,price3,-0.0009879391755669442
Stage2,Metro,S2,price4,-0.004990210020456608
Stage2,Metro,S2,taxi_12,-0.10546744724411644
Stage2,VT,S1,price1,0.15146969666638746
Stage2,VT,S1,price2,0.31613281936157617
Stage2,VT,S1,price3,-0.21683225578904433
Stage2,VT,S1,price4,0.0794830524670383
Stage2,VT,S1,taxi_12,0.030039572854468028
Stage2,VT,S2,price1,-0.009363875885562088
Stage2,VT,S2,price2,-0.015375711695217351
Stage2,VT,S2,price3,0.180887565499792
Stage2,VT,S2,price4,-0.004990210020456608
Stage2,VT,S2,taxi_12,0.07952078673619355
Stage2,Ultra,S1,price1,0.15146969666638746
Stage2,Ultra,S1,price2,0.31613281936157617
Stage2,Ultra,S1,price3,0.06916549973478969
Stage2,Ultra,S1,price4,-0.36361055306617196
Stage2,Ultra,S1,taxi_12,0.030039572854468028
Stage2,Ultra,S2,price1,-0.009363875885562088
Stage2,Ultra,S2,price2,-0.01537571169521735
Stage2,Ultra,S2,price3,-0.0009879391755669444
Stage2,Ultra,S2,price4,0.27678778147871935
Stage2,Ultra,S2,taxi_12,0.07952078673619355
Stage2,PAYG,S1,price1,0.15146969666638743
Stage2,PAYG,S1,price2,0.3161328193615762
Stage2,PAYG,S1,price3,0.06916549973478969
Stage2,PAYG,S1,price4,0.07948305246703831
Stage2,PAYG,S1,taxi_12,0.030039572854468028
Stage2,PAYG,S2,price1,-0.009363875885562088
Stage2,PAYG,S2,price2,-0.015375711695217351
Stage2,PAYG,S2,price3,-0.0009879391755669442
Stage2,PAYG,S2,price4,-0.004990210020456608
Stage2,PAYG,S2,taxi_12,0.07952078673619355
